,Player,PTS,MP,Age,YOS,Pos,Draft Status,2022-23,Draft Rank
454,Xavier Tillman ,4.8,13.2,23,2,PF,2020 Rnd 2 Pick 5,508891,35
455,Isaiah Todd,1.7,6.2,20,1,PF,2021 Rnd 2 Pick 1,1575000,31
456,Obi Toppin,9.0,17.1,24,2,F,2020 Rnd 1 Pick 8,5348280,8
457,Juan Toscano-Anderson,4.1,13.6,29,3,F,"2015 NBA Draft, Undrafted",1836016,61
458,Karl-Anthony Towns,24.6,33.5,26,7,C,2015 Rnd 1 Pick 1,33833400,1
459,Gary Trent,18.3,35.0,23,4,SG,2018 Rnd 2 Pick 7,17505000,37
460,PJ Tucker,7.6,27.9,37,11,SF,2006 Rnd 2 Pick 5,10490000,35
461,Myles Turner,12.9,29.4,26,7,FC,2015 Rnd 1 Pick 11,18000000,11
462,Jonas Valanciunas,0.0,24.863375040299893,30,10,C,2011 Rnd 1 Pick 5,14700000,5
463,Fred VanVleet,20.3,37.9,28,6,G,"2016 NBA Draft, Undrafted",21250000,61
464,Jarred Vanderbilt,6.9,25.4,23,4,PF,2018 Rnd 2 Pick 11,4050000,41
465,Devin Vassell,12.3,27.3,21,2,SG,2020 Rnd 1 Pick 11,4437000,11
466,Luca Vildoza,0.0,8.91061594953117,27,2,PG,"2017 NBA Draft, Undrafted",1752638,61
467,Gabe Vincent,8.7,23.4,26,3,G,"2018 NBA Draft, Undrafted",1669178,61
468,Nikola Vucevic,17.6,33.1,31,11,PF,2011 Rnd 1 Pick 16,22000000,16
469,Dean Wade,5.3,19.2,25,3,PF,"2019 NBA Draft, Undrafted",1930681,61
470,Franz Wagner,15.2,30.7,20,1,SF,2021 Rnd 1 Pick 8,5258280,8
471,Moe Wagner,0.0,12.898370606607472,25,4,PF,2018 Rnd 1 Pick 25,508891,25
472,Ish Wainright,2.4,8.0,27,1,GF,"2017 NBA Draft, Undrafted",5318,61
473,Jabari Walker,0.0,9.664373464548937,20,0,F,2022 Rnd 2 Pick 27,1017781,57
474,Kemba Walker,11.6,25.6,32,11,G,2011 Rnd 1 Pick 9,9165471,9
475,Lonnie Walker,0.0,14.93719290151726,23,4,SG,2018 Rnd 1 Pick 18,508891,18
476,John Wall,0.0,30.422319021981764,31,12,PG,2010 Rnd 1 Pick 1,6479000,1
477,TJ Warren,0.0,16.94066218571563,28,8,F,2014 Rnd 1 Pick 14,1836090,14
478,Duane Washington,9.9,20.2,22,1,G,"2021 NBA Draft, Undrafted",1563518,61
