,Player,PTS,MP,Age,YOS,Pos,Draft Status,2022-23,Draft Rank
135,Keon Ellis,0.0,8.91061594953117,23,0,F,"2022 NBA Draft, Undrafted",508891,61
136,Joel Embiid,30.6,33.8,28,8,C,2014 Rnd 1 Pick 3,33616770,3
137,Drew Eubanks,7.7,17.5,25,4,C,"2018 NBA Draft, Undrafted",1836090,61
138,Derrick Favors,5.3,16.7,31,12,FC,2010 Rnd 1 Pick 3,10183800,3
139,Bruno Fernando,2.9,5.1,24,3,C,2019 Rnd 2 Pick 4,508891,34
140,Dorian Finney-Smith,11.0,33.1,29,6,SF,"2016 NBA Draft, Undrafted",12402000,61
141,Malachi Flynn,4.3,12.2,24,2,PG,2020 Rnd 1 Pick 29,2145720,29
142,Simone Fontecchio,0.0,8.91061594953117,26,0,SF,"2017 NBA Draft, Undrafted",3205128,61
143,Bryn Forbes,8.8,17.1,29,6,G,"2016 NBA Draft, Undrafted",1836090,61
144,Trent Forrest,3.3,12.8,24,2,SG,"2020 NBA Draft, Undrafted",508891,61
145,Michael Foster,0.0,8.91061594953117,19,0,PF,"2022 NBA Draft, Undrafted",508891,61
146,Evan Fournier,14.1,29.5,29,10,SG,2012 Rnd 1 Pick 20,18000000,20
147,De'Aaron Fox,23.2,35.3,24,5,PG,2017 Rnd 1 Pick 5,28103550,5
148,Javon Freeman-Liberty,0.0,8.91061594953117,22,0,G,"2022 NBA Draft, Undrafted",508891,61
149,Markelle Fultz,10.8,20.0,24,5,PG,2017 Rnd 1 Pick 1,16500000,1
150,Wenyen Gabriel,5.4,13.8,25,4,PF,"2018 NBA Draft, Undrafted",1878720,61
151,Daniel Gafford,9.4,20.1,23,3,C,2019 Rnd 2 Pick 8,1930681,38
152,Danilo Gallinari,11.7,25.3,34,14,SF,2008 Rnd 1 Pick 6,6479000,6
153,Darius Garland,21.7,35.7,22,3,G,2019 Rnd 1 Pick 5,8920795,5
154,Marcus Garrett,1.1,10.7,24,1,PG,"2021 NBA Draft, Undrafted",508891,61
155,Usman Garuba,2.0,10.0,20,1,C,2021 Rnd 1 Pick 23,2471160,23
156,Rudy Gay,8.1,18.9,36,16,SF,2006 Rnd 1 Pick 8,6184500,8
157,Paul George,24.3,34.7,32,12,GF,2010 Rnd 1 Pick 10,42492492,10
158,Taj Gibson,4.4,18.2,37,13,F,2009 Rnd 1 Pick 26,5155500,26
159,Josh Giddey,12.5,31.5,19,1,G,2021 Rnd 1 Pick 6,6287280,6
160,Shai Gilgeous-Alexander,24.5,34.7,24,4,PG,2018 Rnd 1 Pick 11,30913750,11
161,Anthony Gill,4.1,10.5,29,2,PF,"2016 NBA Draft, Undrafted",1836090,61
162,Collin Gillespie,0.0,8.91061594953117,24,0,PG,"2022 NBA Draft, Undrafted",508891,61
163,Rudy Gobert,15.6,32.1,30,9,C,2013 Rnd 1 Pick 27,38172414,27
164,Aaron Gordon,15.0,31.7,26,8,F,2014 Rnd 1 Pick 4,19690909,4
165,Eric Gordon,13.4,29.3,33,14,G,2008 Rnd 1 Pick 7,19568360,7
166,Kellan Grady,0.0,8.91061594953117,24,0,PG,"2022 NBA Draft, Undrafted",508891,61
167,Devonte' Graham,11.9,28.4,27,4,PG,2018 Rnd 2 Pick 4,11550000,34
168,Jerami Grant,19.2,31.9,28,8,F,2014 Rnd 2 Pick 9,20955000,39
169,AJ Green,0.0,8.91061594953117,23,0,PG,"2022 NBA Draft, Undrafted",508891,61
170,Danny Green,5.9,21.8,35,13,SF,2009 Rnd 2 Pick 16,10000000,46
171,Draymond Green,7.5,28.9,32,10,F,2012 Rnd 2 Pick 5,1836090,35
172,JaMychal Green,6.4,16.2,32,8,PF,"2012 NBA Draft, Undrafted",8200000,61
173,Jalen Green,17.3,31.9,20,1,SG,2021 Rnd 1 Pick 2,9441840,2
174,Javonte Green,7.2,23.4,29,3,G,"2015 NBA Draft, Undrafted",1815677,61
175,Jeff Green,10.3,24.7,35,14,F,2007 Rnd 1 Pick 5,4500000,5
176,Josh Green,4.8,15.5,21,2,SG,2020 Rnd 1 Pick 18,3098400,18
177,AJ Griffin,0.0,15.845816083731858,18,0,SG,2022 Rnd 1 Pick 16,3536160,16
178,Quentin Grimes,6.0,17.1,22,1,SG,2021 Rnd 1 Pick 25,2277000,25
179,Mouhamadou Gueye,0.0,8.91061594953117,0,0,F,"2022 NBA Draft, Undrafted",508891,61
180,Rui Hachimura,11.3,22.5,24,3,F,2019 Rnd 1 Pick 9,6263188,9
181,Tyrese Haliburton,15.3,35.0,22,2,PG,2020 Rnd 1 Pick 12,4215120,12
182,Jordan Hall,0.0,8.91061594953117,22,0,F,"2022 NBA Draft, Undrafted",508891,61
183,Tyler Hall,0.0,2.0,25,1,SG,"2019 NBA Draft, Undrafted",508891,61
184,RJ Hampton,7.6,21.9,21,2,G,2020 Rnd 1 Pick 24,2412840,24
185,Tim Hardaway,14.2,29.6,30,9,SG,2013 Rnd 1 Pick 24,19602273,24
186,James Harden,22.0,37.2,32,13,SG,2009 Rnd 1 Pick 3,33000000,3
187,Jaden Hardy,0.0,11.66199073992179,20,0,SG,2022 Rnd 2 Pick 7,1017781,37
188,Maurice Harkless,4.6,18.4,29,10,F,2012 Rnd 1 Pick 15,4564980,15
189,Ron Harper,0.0,8.91061594953117,23,0,G,"2022 NBA Draft, Undrafted",508891,61
190,Gary Harris,11.1,28.4,27,8,SG,2014 Rnd 1 Pick 19,13000000,19
191,Joe Harris,11.3,30.2,30,8,SG,2014 Rnd 2 Pick 3,18642857,33
192,Kevon Harris,0.0,8.91061594953117,25,0,SF,"2020 NBA Draft, Undrafted",508891,61
193,Tobias Harris,17.2,34.8,30,11,F,2011 Rnd 1 Pick 19,37633050,19
194,Josh Hart,14.9,33.2,27,5,SG,2017 Rnd 1 Pick 30,12960000,30
195,Isaiah Hartenstein,8.3,17.9,24,4,PF,2017 Rnd 2 Pick 13,7804879,43
196,Sam Hauser,2.5,6.1,24,1,SF,"2021 NBA Draft, Undrafted",1563518,61
197,Jaxson Hayes,9.3,20.0,22,3,PF,2019 Rnd 1 Pick 8,6803012,8
198,Killian Hayes,6.9,25.0,21,2,G,2020 Rnd 1 Pick 7,5572680,7
199,Gordon Hayward,15.9,31.9,32,12,GF,2010 Rnd 1 Pick 9,30075000,9
200,Juancho Hernangomez,3.3,11.1,26,6,F,2016 Rnd 1 Pick 15,6907815,15
201,Willy Hernangomez,9.1,16.8,28,6,C,2015 Rnd 2 Pick 5,2443581,35
202,Tyler Herro,20.7,32.6,22,3,SG,2019 Rnd 1 Pick 13,5722116,13
203,Buddy Hield,15.6,30.9,29,6,G,2016 Rnd 1 Pick 6,22768890,6
204,Haywood Highsmith,2.3,8.6,25,2,F,"2018 NBA Draft, Undrafted",1752638,61
205,George Hill,6.2,23.2,36,14,G,2008 Rnd 1 Pick 26,4000000,26
206,Aaron Holiday,6.3,16.2,25,4,PG,2018 Rnd 1 Pick 23,1836090,23
207,Jrue Holiday,18.3,32.9,32,13,G,2009 Rnd 1 Pick 17,33665040,17
208,Justin Holiday,10.1,27.8,33,9,SF,"2011 NBA Draft, Undrafted",6292440,61
209,Richaun Holmes,10.4,23.9,28,7,F,2015 Rnd 2 Pick 7,11215260,37
210,Chet Holmgren,0.0,28.891885430252387,20,0,C,2022 Rnd 1 Pick 2,9891240,2
211,Al Horford,10.2,29.1,36,15,FC,2007 Rnd 1 Pick 3,26500000,3
212,Talen Horton-Tucker,10.0,25.2,21,3,SF,2019 Rnd 2 Pick 16,10260000,46
213,Danuel House,5.9,17.3,29,6,F,"2016 NBA Draft, Undrafted",4105000,61
214,Caleb Houstan,0.0,11.995312203720413,19,0,SF,2022 Rnd 2 Pick 2,2000000,32
215,Trevor Hudgins,0.0,8.91061594953117,24,0,G,"2022 NBA Draft, Undrafted",508891,61
216,Kevin Huerter,12.1,29.6,23,4,SF,2018 Rnd 1 Pick 19,14508929,19
217,Jay Huff,0.0,5.0,23,1,C,"2021 NBA Draft, Undrafted",508891,61
218,Feron Hunt,0.0,4.0,23,1,SF,"2021 NBA Draft, Undrafted",508891,61
219,De'Andre Hunter,13.4,29.8,24,3,PF,2019 Rnd 1 Pick 4,9835881,4
220,Bones Hyland,10.1,19.0,21,1,G,2021 Rnd 1 Pick 26,2201400,26
221,Serge Ibaka,6.8,16.2,32,13,C,2008 Rnd 1 Pick 24,1836090,24
222,Joe Ingles,7.2,24.9,34,8,F,"2009 NBA Draft, Undrafted",508891,61
223,Brandon Ingram,22.7,34.0,24,6,SF,2016 Rnd 1 Pick 2,31650600,2
224,Kyrie Irving,27.4,37.6,30,11,G,2011 Rnd 1 Pick 1,36934550,1
225,Jonathan Isaac,0.0,23.69473760154164,24,5,SF,2017 Rnd 1 Pick 6,17400000,6
226,Jaden Ivey,0.0,24.863375040299893,20,0,G,2022 Rnd 1 Pick 5,7252200,5
227,Isaiah Jackson,8.3,15.0,20,1,PF,2021 Rnd 1 Pick 22,2573760,22
228,Jaren Jackson,16.3,27.3,22,4,PF,2018 Rnd 1 Pick 4,28946605,4
229,Reggie Jackson,16.8,31.2,32,11,G,2011 Rnd 1 Pick 24,11215260,24
230,LeBron James,30.3,37.2,37,19,F,2003 Rnd 1 Pick 1,44474988,1
231,Ty Jerome,7.1,16.7,25,3,PG,2019 Rnd 1 Pick 24,4220057,24
232,Isaiah Joe,3.6,11.1,23,2,SG,2020 Rnd 2 Pick 19,1782621,49
233,Cameron Johnson,12.5,26.2,26,3,G,2019 Rnd 1 Pick 11,5887899,11
234,Jalen Johnson,2.4,5.5,20,1,PF,2021 Rnd 1 Pick 20,2792640,20
235,Keldon Johnson,17.0,31.9,22,3,SF,2019 Rnd 1 Pick 29,3873025,29
236,Keon Johnson,7.2,18.8,20,1,PG,2021 Rnd 1 Pick 21,2681040,21
237,Stanley Johnson,6.7,22.8,26,7,G,2015 Rnd 1 Pick 8,2351521,8
238,Nikola Jokic,27.1,33.5,27,7,C,2014 Rnd 2 Pick 11,33047804,41
239,Carlik Jones,0.8,4.6,24,1,PG,"2021 NBA Draft, Undrafted",508891,61
240,Damian Jones,8.1,18.2,27,6,PF,2016 Rnd 1 Pick 30,2298385,30
241,Derrick Jones,5.6,17.6,25,6,SF,"2016 NBA Draft, Undrafted",3200000,61
242,Herb Jones,0.0,11.780869697535394,23,1,SF,2021 Rnd 2 Pick 5,508891,35
243,Kai Jones,1.0,3.0,21,1,PF,2021 Rnd 1 Pick 19,2909160,19
244,Tre Jones,6.0,16.6,22,2,PG,2020 Rnd 2 Pick 11,1782621,41
245,Tyus Jones,8.7,21.2,26,7,PG,2015 Rnd 1 Pick 24,1500000,24
246,DeAndre Jordan,4.3,13.0,34,14,C,2008 Rnd 2 Pick 5,1836090,35
247,Cory Joseph,8.0,24.6,31,11,PG,2011 Rnd 1 Pick 29,5155500,29
248,Nikola Jovic,0.0,12.557808732921465,19,0,F,2022 Rnd 1 Pick 27,2239920,27
249,Johnny Juzang,0.0,8.91061594953117,22,0,SG,"2022 NBA Draft, Undrafted",508891,61
250,Mfiondu Kabengele,0.0,12.557808732921465,25,2,SF,2019 Rnd 1 Pick 27,1701593,27
251,Frank Kaminsky,10.6,20.1,29,7,F,2015 Rnd 1 Pick 9,1836090,9
252,Trevor Keels,0.0,11.37177407334455,19,0,PG,2022 Rnd 2 Pick 12,508891,42
253,Luke Kennard,11.9,27.4,26,5,SG,2017 Rnd 1 Pick 12,14415545,12
254,Walker Kessler,0.0,13.586572148333879,21,0,C,2022 Rnd 1 Pick 22,2696400,22
255,Braxton Key,7.2,17.9,25,1,SF,"2020 NBA Draft, Undrafted",508891,61
256,Corey Kispert,8.2,23.4,23,1,SF,2021 Rnd 1 Pick 15,3552960,15
257,Maxi Kleber,7.0,24.6,30,5,PF,"2014 NBA Draft, Undrafted",9000000,61
258,Nathan Knight,3.7,7.2,24,2,PF,"2020 NBA Draft, Undrafted",1836090,61
259,Kevin Knox,3.1,7.4,23,4,SF,2018 Rnd 1 Pick 9,5845979,9
260,John Konchar,4.8,17.9,26,3,G,"2019 NBA Draft, Undrafted",2300000,61
261,Furkan Korkmaz,7.6,21.1,25,5,SG,2016 Rnd 1 Pick 26,5000000,26
262,Luke Kornet,2.0,6.9,27,5,F,"2017 NBA Draft, Undrafted",565986,61
263,Vit Krejci,6.2,23.0,22,1,PG,2020 Rnd 2 Pick 7,1563518,37
264,Jonathan Kuminga,9.3,16.9,19,1,F,2021 Rnd 1 Pick 7,5739860,7
265,Kyle Kuzma,17.1,33.4,27,5,F,2017 Rnd 1 Pick 27,13000000,27
266,Jake LaRavia,0.0,14.545370969723194,20,0,F,2022 Rnd 1 Pick 19,3047640,19
267,Zach LaVine,24.4,34.7,27,8,SG,2014 Rnd 1 Pick 13,37096500,13
268,Jock Landale,4.9,10.9,26,1,C,"2018 NBA Draft, Undrafted",1563518,61
269,Romeo Langford,4.5,16.1,22,3,SG,2019 Rnd 1 Pick 14,5634257,14
270,AJ Lawson,0.0,8.91061594953117,22,0,F,"2021 NBA Draft, Undrafted",508891,61
271,Caris LeVert,17.0,30.7,27,6,G,2016 Rnd 1 Pick 20,18796296,20
272,Damion Lee,7.4,19.9,29,5,G,"2016 NBA Draft, Undrafted",1836090,61
273,Saben Lee,5.6,16.3,23,2,PG,2020 Rnd 2 Pick 8,1752638,38
274,Alex Len,6.0,15.9,29,9,C,2013 Rnd 1 Pick 5,3918000,5
275,Kawhi Leonard,0.0,16.36845166539046,31,11,F,2011 Rnd 1 Pick 15,42492492,15
276,Kira Lewis,5.9,14.2,21,2,PG,2020 Rnd 1 Pick 13,4004280,13
277,Justin Lewis,0.0,8.91061594953117,21,0,F,"2022 NBA Draft, Undrafted",508891,61
278,Damian Lillard,24.0,36.4,32,10,G,2012 Rnd 1 Pick 6,42492492,6
279,Nassir Little,9.8,25.9,22,3,SF,2019 Rnd 1 Pick 25,4171548,25
280,Isaiah Livers,6.4,20.2,24,1,PF,2021 Rnd 2 Pick 12,1563518,42
281,Kenny Lofton,0.0,8.91061594953117,20,0,F,"2022 NBA Draft, Undrafted",508891,61
282,Kevon Looney,6.0,21.1,26,7,PF,2015 Rnd 1 Pick 30,8000000,30
283,Brook Lopez,12.4,22.9,34,14,C,2008 Rnd 1 Pick 10,13906976,10
284,Robin Lopez,7.1,17.0,34,14,FC,2008 Rnd 1 Pick 15,1836090,15
285,Didi Louzada,3.9,14.3,23,2,SF,2019 Rnd 2 Pick 5,1876222,35
286,Kevin Love,13.6,22.5,33,14,FC,2008 Rnd 1 Pick 5,28942830,5
287,Kyle Lowry,13.4,33.9,36,16,PG,2006 Rnd 1 Pick 24,28333334,24
288,Trey Lyles,10.5,20.5,26,7,SF,2015 Rnd 1 Pick 12,2700000,12
289,Makur Maker,0.0,8.91061594953117,21,0,C,"2022 NBA Draft, Undrafted",508891,61
290,Theo Maledon,7.1,17.8,21,2,PG,2020 Rnd 2 Pick 4,1900000,34
291,Sandro Mamukelashvili,3.8,9.9,24,1,F,2021 Rnd 2 Pick 24,508891,54
292,Terance Mann,10.8,28.6,25,3,SG,2019 Rnd 2 Pick 18,1930681,48
293,Tre Mann,10.4,22.8,21,1,PG,2021 Rnd 1 Pick 18,3046200,18
294,Boban Marjanovic,4.3,5.6,34,7,C,"2010 NBA Draft, Undrafted",3500000,61
295,Lauri Markkanen,14.8,30.8,25,5,SF,2017 Rnd 1 Pick 7,16475454,7
296,Naji Marshall,5.7,13.4,24,2,SF,"2020 NBA Draft, Undrafted",1782621,61
297,Caleb Martin,9.2,22.9,26,3,F,"2019 NBA Draft, Undrafted",6479000,61
298,Cody Martin,7.7,26.3,26,3,F,2019 Rnd 2 Pick 6,7000000,36
299,KJ Martin,0.0,10.431481822269447,21,2,F,2020 Rnd 2 Pick 22,508891,52
300,Tyrese Martin,0.0,10.55950482165533,23,0,GF,2022 Rnd 2 Pick 21,1017781,51
301,Garrison Mathews,10.0,26.3,25,3,SG,"2019 NBA Draft, Undrafted",2000000,61
302,Bennedict Mathurin,0.0,23.69473760154164,20,0,GF,2022 Rnd 1 Pick 6,6586800,6
303,Wesley Matthews,5.1,20.4,35,13,G,"2009 NBA Draft, Undrafted",1836090,61
304,Tyrese Maxey,17.5,35.3,21,2,PG,2020 Rnd 1 Pick 21,2726880,21
305,Miles McBride,2.2,9.3,21,1,G,2021 Rnd 2 Pick 6,1563518,36
306,Mac McClung,4.0,12.5,23,1,PG,"2021 NBA Draft, Undrafted",508891,61
307,CJ McCollum,22.1,34.6,30,9,G,2013 Rnd 1 Pick 10,33333333,10
308,TJ McConnell,8.5,24.1,30,7,G,"2015 NBA Draft, Undrafted",8100000,61
309,Javante McCoy,0.0,8.91061594953117,24,0,G,"2022 NBA Draft, Undrafted",508891,61
310,Jaden McDaniels,9.2,25.8,21,2,F,2020 Rnd 1 Pick 28,2161440,28
311,Jalen McDaniels,6.2,16.3,24,3,PF,2019 Rnd 2 Pick 22,1930681,52
312,Doug McDermott,11.3,24.0,30,8,F,2014 Rnd 1 Pick 11,13750000,11
313,JaVale McGee,9.2,15.8,34,14,C,2008 Rnd 1 Pick 18,5461219,18
314,Bryce McGowens,0.0,11.49247416488313,20,0,GF,2022 Rnd 2 Pick 10,508891,40
315,Rodney McGruder,5.4,14.8,31,6,SG,"2013 NBA Draft, Undrafted",1836090,61
316,Jordan McLaughlin,3.8,14.5,26,3,G,"2018 NBA Draft, Undrafted",2160000,61
317,De'Anthony Melton,10.8,22.7,24,4,SG,2018 Rnd 2 Pick 16,8250000,46
318,Sam Merrill,4.2,9.7,26,2,G,2020 Rnd 2 Pick 30,1517981,60
319,Chimezie Metu,8.9,21.3,25,4,PF,2018 Rnd 2 Pick 19,1910680,49
320,Khris Middleton,20.1,32.4,31,10,SF,2012 Rnd 2 Pick 9,37948276,39
321,Isaiah Miller,0.0,8.91061594953117,24,0,G,"2021 NBA Draft, Undrafted",508891,61
322,Patty Mills,11.4,29.0,34,13,G,2009 Rnd 2 Pick 25,6479000,55
323,Shake Milton,8.2,21.4,25,4,SG,2018 Rnd 2 Pick 24,1977718,54
324,Josh Minott,0.0,11.160031613805046,19,0,F,2022 Rnd 2 Pick 15,1017781,45
325,Davion Mitchell,11.5,27.7,23,1,PG,2021 Rnd 1 Pick 9,4833600,9
326,Donovan Mitchell,25.9,33.8,25,5,SG,2017 Rnd 1 Pick 13,30351780,13
327,Evan Mobley,15.0,33.8,21,1,PF,2021 Rnd 1 Pick 3,8478720,3
328,Isaiah Mobley,0.0,10.790468548675452,23,0,SF,2022 Rnd 2 Pick 19,508891,49
329,Chima Moneke,0.0,8.91061594953117,26,0,F,"2018 NBA Draft, Undrafted",1017781,61
330,Malik Monk,13.8,28.1,24,5,SG,2017 Rnd 1 Pick 11,9472219,11
331,Moses Moody,4.4,11.7,20,1,SG,2021 Rnd 1 Pick 14,3562200,14
332,Xavier Moon,5.8,13.7,27,1,SG,"2017 NBA Draft, Undrafted",508891,61
333,Wendell Moore,0.0,12.717775147514896,20,0,SF,2022 Rnd 1 Pick 26,2306520,26
334,Ja Morant,27.4,33.1,23,3,G,2019 Rnd 1 Pick 2,9603360,2
335,Marcus Morris,15.4,29.0,32,11,F,2011 Rnd 1 Pick 14,16372093,14
336,Monte Morris,12.6,29.9,27,5,G,2017 Rnd 2 Pick 21,9125000,51
337,Trey Murphy,5.4,13.9,22,1,G,2021 Rnd 1 Pick 17,3206640,17
338,Dejounte Murray,21.1,34.8,25,6,SG,2016 Rnd 1 Pick 29,16571120,29
339,Jamal Murray,0.0,22.60670520934719,25,6,SG,2016 Rnd 1 Pick 7,31650000,7
340,Keegan Murray,0.0,26.116473487809344,22,0,F,2022 Rnd 1 Pick 4,8008440,4
341,Mike Muscala,8.0,13.8,31,9,FC,2013 Rnd 2 Pick 14,508891,44
342,Svi Mykhailiuk,4.6,12.8,25,4,SF,2018 Rnd 2 Pick 17,1878720,47
343,Larry Nance,7.0,22.6,29,7,SF,2015 Rnd 1 Pick 27,9672727,27
344,Andrew Nembhard,0.0,12.082625276420373,22,0,PG,2022 Rnd 2 Pick 1,2244111,31
345,RJ Nembhard,1.1,4.5,23,1,PG,"2021 NBA Draft, Undrafted",508891,61
346,Aaron Nesmith,3.8,11.0,22,2,F,2020 Rnd 1 Pick 14,3804360,14
347,Raulzinho Neto,0.0,10.98961348843552,30,7,PG,2013 Rnd 2 Pick 17,508891,47
348,Georges Niang,9.2,22.8,29,6,F,2016 Rnd 2 Pick 20,3465000,50
349,Daishen Nix,3.2,10.9,20,1,GF,"2021 NBA Draft, Undrafted",1563518,61
350,Zeke Nnaji,6.6,17.0,21,2,PF,2020 Rnd 1 Pick 22,2498760,22
351,Nerlens Noel,3.4,22.5,28,9,FC,2013 Rnd 1 Pick 6,9240000,6
352,Jaylen Nowell,8.5,15.7,23,3,SG,2019 Rnd 2 Pick 13,1930681,43
353,Frank Ntilikina,4.1,11.8,24,5,PG,2017 Rnd 1 Pick 8,2036318,8
354,Kendrick Nunn,0.0,8.91061594953117,27,4,SG,"2018 NBA Draft, Undrafted",5250000,61
355,Jusuf Nurkic,15.0,28.2,27,8,FC,2014 Rnd 1 Pick 16,15625000,16
356,David Nwaba,5.1,13.2,29,6,G,"2016 NBA Draft, Undrafted",5022000,61
357,Royce O'Neale,7.4,31.2,29,5,SF,"2015 NBA Draft, Undrafted",9200000,61
358,Chuma Okeke,8.6,25.0,24,2,PF,2019 Rnd 1 Pick 16,3433320,16
359,Josh Okogie,2.7,10.5,23,4,SG,2018 Rnd 1 Pick 20,1836090,20
360,Onyeka Okongwu,8.2,20.7,21,2,PF,2020 Rnd 1 Pick 6,6395160,6
361,Isaac Okoro,8.8,29.6,21,2,SG,2020 Rnd 1 Pick 5,7040880,5
362,Victor Oladipo,12.4,21.6,30,9,G,2013 Rnd 1 Pick 2,8750000,2
363,Kelly Olynyk,9.1,19.1,31,9,C,2013 Rnd 1 Pick 13,12195122,13
364,Eugene Omoruyi,1.8,4.5,26,1,F,"2021 NBA Draft, Undrafted",508891,61
365,Cedi Osman,10.7,22.2,27,5,GF,2015 Rnd 2 Pick 1,7426088,31
366,Kelly Oubre,15.0,26.3,26,7,SF,2015 Rnd 1 Pick 15,12600000,15
367,Eric Paschall,5.8,12.7,25,3,F,2019 Rnd 2 Pick 11,1782621,41
368,Chris Paul,14.7,32.9,37,17,PG,2005 Rnd 1 Pick 4,28400000,4
369,Cameron Payne,10.8,22.0,28,7,G,2015 Rnd 1 Pick 14,6000000,14
370,Gary Payton,7.1,17.6,29,6,G,"2016 NBA Draft, Undrafted",8300000,61
371,Norvel Pelle,2.0,6.3,29,3,FC,"2014 NBA Draft, Undrafted",508891,61
372,Theo Pinson,2.5,7.8,26,4,SG,"2018 NBA Draft, Undrafted",1836090,61
373,Scotty Pippen,0.0,8.91061594953117,22,0,G,"2022 NBA Draft, Undrafted",508891,61
374,Mason Plumlee,6.5,24.6,32,9,PF,2013 Rnd 1 Pick 22,9080417,22
375,Jakob Poeltl,13.5,29.0,26,6,C,2016 Rnd 1 Pick 9,9398148,9
376,Aleksej Pokusevski,7.6,20.2,20,2,C,2020 Rnd 1 Pick 17,3261480,17
377,Jordan Poole,18.5,30.0,23,3,SG,2019 Rnd 1 Pick 28,3901399,28
378,Kevin Porter,15.6,31.3,22,3,SF,2019 Rnd 1 Pick 30,3217631,30
379,Michael Porter,9.9,29.4,24,4,PF,2018 Rnd 1 Pick 14,30912500,14
380,Otto Porter,8.2,22.2,29,9,SF,2013 Rnd 1 Pick 3,6000000,3
381,Bobby Portis,14.6,28.2,27,7,PF,2015 Rnd 1 Pick 22,10843350,22
382,Kristaps Porzingis,20.2,29.0,27,7,FC,2015 Rnd 1 Pick 4,33833400,4
383,Dwight Powell,8.7,21.9,31,8,PF,2014 Rnd 2 Pick 15,11080125,45
384,Norman Powell,19.0,32.4,29,7,SG,2015 Rnd 2 Pick 16,16758621,46
385,Jason Preston,0.0,11.917002864668142,23,1,G,2021 Rnd 2 Pick 3,1563518,33
386,Joshua Primo,5.8,19.3,19,1,G,2021 Rnd 1 Pick 12,4144320,12
387,Taurean Prince,7.3,17.1,28,6,F,2016 Rnd 1 Pick 12,8000000,12
388,Payton Pritchard,6.2,14.1,24,2,PG,2020 Rnd 1 Pick 26,2239200,26
